respondent_id,q13_income,income_min_chf,income_max_chf,income_mid_chf
118867014490,Keine Angabe,,,
118867103472,7.001 - 10.000 CHF,7001,10000,8500
118867106782,Keine Angabe,,,
118867102635,5.001 - 7.000 CHF,5001,7000,6000
118867095560,5.001 - 7.000 CHF,5001,7000,6000
118867093389,7.001 - 10.000 CHF,7001,10000,8500
118867085559,5.001 - 7.000 CHF,5001,7000,6000
118867081746,Unter 3.000 CHF,0,3000,
118867081624,Keine Angabe,,,
118867080434,7.001 - 10.000 CHF,7001,10000,8500
118867074861,Über 10.000 CHF,10000,,
118867075571,5.001 - 7.000 CHF,5001,7000,6000
118867072484,Über 10.000 CHF,10000,,
118867062931,7.001 - 10.000 CHF,7001,10000,8500
118867061539,5.001 - 7.000 CHF,5001,7000,6000
118867060721,5.001 - 7.000 CHF,5001,7000,6000
118867051868,7.001 - 10.000 CHF,7001,10000,8500
118867051937,3.000 - 5.000 CHF,3000,5000,4000
118867049431,Keine Angabe,,,
118867048965,5.001 - 7.000 CHF,5001,7000,6000
118867015928,7.001 - 10.000 CHF,7001,10000,8500
118867045143,Unter 3.000 CHF,0,3000,
118867046914,7.001 - 10.000 CHF,7001,10000,8500
118867037998,7.001 - 10.000 CHF,7001,10000,8500
118867044486,3.000 - 5.000 CHF,3000,5000,4000
118866955443,5.001 - 7.000 CHF,5001,7000,6000
118867044801,3.000 - 5.000 CHF,3000,5000,4000
118867044223,5.001 - 7.000 CHF,5001,7000,6000
118867043137,5.001 - 7.000 CHF,5001,7000,6000
118867044118,Unter 3.000 CHF,0,3000,
118867043576,7.001 - 10.000 CHF,7001,10000,8500
118867041751,Über 10.000 CHF,10000,,
118867040792,7.001 - 10.000 CHF,7001,10000,8500
118867041382,3.000 - 5.000 CHF,3000,5000,4000
118867040503,5.001 - 7.000 CHF,5001,7000,6000
118867040007,3.000 - 5.000 CHF,3000,5000,4000
118867040264,Unter 3.000 CHF,0,3000,
118867038333,Unter 3.000 CHF,0,3000,
118867036887,5.001 - 7.000 CHF,5001,7000,6000
118867037007,Über 10.000 CHF,10000,,
118867037498,5.001 - 7.000 CHF,5001,7000,6000
118867036948,5.001 - 7.000 CHF,5001,7000,6000
118867037754,5.001 - 7.000 CHF,5001,7000,6000
118867036605,5.001 - 7.000 CHF,5001,7000,6000
118867035459,7.001 - 10.000 CHF,7001,10000,8500
118867034269,Über 10.000 CHF,10000,,
118867032938,3.000 - 5.000 CHF,3000,5000,4000
118867030915,7.001 - 10.000 CHF,7001,10000,8500
118867031622,Über 10.000 CHF,10000,,
118867028646,3.000 - 5.000 CHF,3000,5000,4000
118867029398,7.001 - 10.000 CHF,7001,10000,8500
118867029770,Unter 3.000 CHF,0,3000,
118867026886,Keine Angabe,,,
118867027259,Unter 3.000 CHF,0,3000,
118867026090,7.001 - 10.000 CHF,7001,10000,8500
118867025702,Keine Angabe,,,
118867022508,Über 10.000 CHF,10000,,
118867024898,Keine Angabe,,,
118867024317,3.000 - 5.000 CHF,3000,5000,4000
118867022838,Über 10.000 CHF,10000,,
118867018284,Keine Angabe,,,
118867014898,Keine Angabe,,,
118867016042,7.001 - 10.000 CHF,7001,10000,8500
118867018967,3.000 - 5.000 CHF,3000,5000,4000
118867019545,3.000 - 5.000 CHF,3000,5000,4000
118867017445,Keine Angabe,,,
118867016415,7.001 - 10.000 CHF,7001,10000,8500
118867015217,7.001 - 10.000 CHF,7001,10000,8500
118867013213,7.001 - 10.000 CHF,7001,10000,8500
118867013132,7.001 - 10.000 CHF,7001,10000,8500
118867012300,7.001 - 10.000 CHF,7001,10000,8500
118867013091,Über 10.000 CHF,10000,,
118867011523,7.001 - 10.000 CHF,7001,10000,8500
118867010888,7.001 - 10.000 CHF,7001,10000,8500
118867008679,3.000 - 5.000 CHF,3000,5000,4000
118867006949,5.001 - 7.000 CHF,5001,7000,6000
118867006094,5.001 - 7.000 CHF,5001,7000,6000
118867008529,Keine Angabe,,,
118867006775,3.000 - 5.000 CHF,3000,5000,4000
118867003864,5.001 - 7.000 CHF,5001,7000,6000
118867004785,Unter 3.000 CHF,0,3000,
118867002893,5.001 - 7.000 CHF,5001,7000,6000
118867002033,3.000 - 5.000 CHF,3000,5000,4000
118867002447,3.000 - 5.000 CHF,3000,5000,4000
118867000777,3.000 - 5.000 CHF,3000,5000,4000
118866999088,Über 10.000 CHF,10000,,
118866997913,7.001 - 10.000 CHF,7001,10000,8500
118866998775,5.001 - 7.000 CHF,5001,7000,6000
118866997312,7.001 - 10.000 CHF,7001,10000,8500
118866993456,Über 10.000 CHF,10000,,
118866994852,5.001 - 7.000 CHF,5001,7000,6000
118866994419,3.000 - 5.000 CHF,3000,5000,4000
118866996124,5.001 - 7.000 CHF,5001,7000,6000
118866995343,Keine Angabe,,,
118866994047,3.000 - 5.000 CHF,3000,5000,4000
118866994425,Über 10.000 CHF,10000,,
118866992134,Unter 3.000 CHF,0,3000,
118866992596,3.000 - 5.000 CHF,3000,5000,4000
118866990024,7.001 - 10.000 CHF,7001,10000,8500
118866989350,Keine Angabe,,,
118866989292,7.001 - 10.000 CHF,7001,10000,8500
118866987521,5.001 - 7.000 CHF,5001,7000,6000
118866987307,Über 10.000 CHF,10000,,
118866990134,Keine Angabe,,,
118866986337,3.000 - 5.000 CHF,3000,5000,4000
118866989972,Keine Angabe,,,
118866984327,Über 10.000 CHF,10000,,
118866973987,7.001 - 10.000 CHF,7001,10000,8500
118866983923,Unter 3.000 CHF,0,3000,
118866982200,3.000 - 5.000 CHF,3000,5000,4000
118866983403,Über 10.000 CHF,10000,,
118866982535,5.001 - 7.000 CHF,5001,7000,6000
118866979137,Keine Angabe,,,
118866981859,5.001 - 7.000 CHF,5001,7000,6000
118866981183,3.000 - 5.000 CHF,3000,5000,4000
118866979933,5.001 - 7.000 CHF,5001,7000,6000
118866979138,7.001 - 10.000 CHF,7001,10000,8500
118866974650,3.000 - 5.000 CHF,3000,5000,4000
118866975327,Über 10.000 CHF,10000,,
118866974083,5.001 - 7.000 CHF,5001,7000,6000
118866974195,Unter 3.000 CHF,0,3000,
118866974381,7.001 - 10.000 CHF,7001,10000,8500
118866975040,7.001 - 10.000 CHF,7001,10000,8500
118866974076,7.001 - 10.000 CHF,7001,10000,8500
118866973535,Über 10.000 CHF,10000,,
118866970685,3.000 - 5.000 CHF,3000,5000,4000
118866971710,5.001 - 7.000 CHF,5001,7000,6000
118866969397,5.001 - 7.000 CHF,5001,7000,6000
118866968787,Unter 3.000 CHF,0,3000,
118866969369,3.000 - 5.000 CHF,3000,5000,4000
118866968347,3.000 - 5.000 CHF,3000,5000,4000
118866964905,3.000 - 5.000 CHF,3000,5000,4000
118866959282,7.001 - 10.000 CHF,7001,10000,8500
118866960887,7.001 - 10.000 CHF,7001,10000,8500
118866963297,Unter 3.000 CHF,0,3000,
118866960088,5.001 - 7.000 CHF,5001,7000,6000
118866962159,Über 10.000 CHF,10000,,
118866958232,Unter 3.000 CHF,0,3000,
118866959132,3.000 - 5.000 CHF,3000,5000,4000
118866959416,7.001 - 10.000 CHF,7001,10000,8500
118866953261,5.001 - 7.000 CHF,5001,7000,6000
118866955618,Unter 3.000 CHF,0,3000,
118866957825,3.000 - 5.000 CHF,3000,5000,4000
118866958454,7.001 - 10.000 CHF,7001,10000,8500
118866956552,5.001 - 7.000 CHF,5001,7000,6000
118866956915,Über 10.000 CHF,10000,,
118866955817,5.001 - 7.000 CHF,5001,7000,6000
118866954185,7.001 - 10.000 CHF,7001,10000,8500
118866951530,Unter 3.000 CHF,0,3000,
118866950613,5.001 - 7.000 CHF,5001,7000,6000
118866948040,5.001 - 7.000 CHF,5001,7000,6000
118866943584,Über 10.000 CHF,10000,,
118866946022,5.001 - 7.000 CHF,5001,7000,6000
118866945395,5.001 - 7.000 CHF,5001,7000,6000
118866942004,5.001 - 7.000 CHF,5001,7000,6000
118866945099,Keine Angabe,,,
118866946286,3.000 - 5.000 CHF,3000,5000,4000
118866943931,7.001 - 10.000 CHF,7001,10000,8500
118866943455,7.001 - 10.000 CHF,7001,10000,8500
118866944075,7.001 - 10.000 CHF,7001,10000,8500
118866943226,5.001 - 7.000 CHF,5001,7000,6000
118866943215,Keine Angabe,,,
118866943315,5.001 - 7.000 CHF,5001,7000,6000
118866942164,5.001 - 7.000 CHF,5001,7000,6000
118866944373,Keine Angabe,,,
118866941933,5.001 - 7.000 CHF,5001,7000,6000
118866940774,Unter 3.000 CHF,0,3000,
118866940556,7.001 - 10.000 CHF,7001,10000,8500
118866936324,Über 10.000 CHF,10000,,
118866939705,5.001 - 7.000 CHF,5001,7000,6000
118866938193,5.001 - 7.000 CHF,5001,7000,6000
118866937507,5.001 - 7.000 CHF,5001,7000,6000
118866935766,5.001 - 7.000 CHF,5001,7000,6000
118866937898,5.001 - 7.000 CHF,5001,7000,6000
118866936563,3.000 - 5.000 CHF,3000,5000,4000
118866937146,3.000 - 5.000 CHF,3000,5000,4000
118866934905,Über 10.000 CHF,10000,,
118866936667,Über 10.000 CHF,10000,,
118866935206,5.001 - 7.000 CHF,5001,7000,6000
118866936450,7.001 - 10.000 CHF,7001,10000,8500
118866935483,5.001 - 7.000 CHF,5001,7000,6000
118866936312,7.001 - 10.000 CHF,7001,10000,8500
118866935967,Unter 3.000 CHF,0,3000,
118866934557,5.001 - 7.000 CHF,5001,7000,6000
118866935058,3.000 - 5.000 CHF,3000,5000,4000
118866928634,5.001 - 7.000 CHF,5001,7000,6000
118866933543,7.001 - 10.000 CHF,7001,10000,8500
118866929307,7.001 - 10.000 CHF,7001,10000,8500
118866933392,7.001 - 10.000 CHF,7001,10000,8500
118866931995,3.000 - 5.000 CHF,3000,5000,4000
118866934042,5.001 - 7.000 CHF,5001,7000,6000
118866935000,Keine Angabe,,,
118866933882,5.001 - 7.000 CHF,5001,7000,6000
118866930245,3.000 - 5.000 CHF,3000,5000,4000
118866930393,7.001 - 10.000 CHF,7001,10000,8500
118866932976,5.001 - 7.000 CHF,5001,7000,6000
118866931782,5.001 - 7.000 CHF,5001,7000,6000
118866930866,7.001 - 10.000 CHF,7001,10000,8500
118866931402,7.001 - 10.000 CHF,7001,10000,8500
118866930240,5.001 - 7.000 CHF,5001,7000,6000
118866930534,3.000 - 5.000 CHF,3000,5000,4000
118866928259,Über 10.000 CHF,10000,,
118866931009,5.001 - 7.000 CHF,5001,7000,6000
118866928820,Keine Angabe,,,
118866930110,Unter 3.000 CHF,0,3000,
118866926962,3.000 - 5.000 CHF,3000,5000,4000
118866926796,Unter 3.000 CHF,0,3000,
118866928003,Unter 3.000 CHF,0,3000,
118866928061,5.001 - 7.000 CHF,5001,7000,6000
118866807581,Über 10.000 CHF,10000,,
118866331968,5.001 - 7.000 CHF,5001,7000,6000
118866098373,Unter 3.000 CHF,0,3000,
118866070482,5.001 - 7.000 CHF,5001,7000,6000
118866049453,7.001 - 10.000 CHF,7001,10000,8500
118865993888,7.001 - 10.000 CHF,7001,10000,8500
118865937239,7.001 - 10.000 CHF,7001,10000,8500
118865545609,Unter 3.000 CHF,0,3000,
118865337253,Über 10.000 CHF,10000,,
118864902528,3.000 - 5.000 CHF,3000,5000,4000
118864896513,Über 10.000 CHF,10000,,
118864429794,3.000 - 5.000 CHF,3000,5000,4000
118864377677,5.001 - 7.000 CHF,5001,7000,6000
118864359644,7.001 - 10.000 CHF,7001,10000,8500
118864248189,Über 10.000 CHF,10000,,
118864149111,Unter 3.000 CHF,0,3000,
118864023864,5.001 - 7.000 CHF,5001,7000,6000
118864004036,7.001 - 10.000 CHF,7001,10000,8500
118863985701,7.001 - 10.000 CHF,7001,10000,8500
118863934625,5.001 - 7.000 CHF,5001,7000,6000
118863922119,3.000 - 5.000 CHF,3000,5000,4000
118863893346,Über 10.000 CHF,10000,,
118863891002,3.000 - 5.000 CHF,3000,5000,4000
118863872491,Über 10.000 CHF,10000,,
118863862058,Über 10.000 CHF,10000,,
118863784974,5.001 - 7.000 CHF,5001,7000,6000
118863593040,7.001 - 10.000 CHF,7001,10000,8500
118863567511,3.000 - 5.000 CHF,3000,5000,4000
118863548745,5.001 - 7.000 CHF,5001,7000,6000
118863432342,7.001 - 10.000 CHF,7001,10000,8500
118863395010,Über 10.000 CHF,10000,,
118863368596,Über 10.000 CHF,10000,,
118863364986,7.001 - 10.000 CHF,7001,10000,8500
118863351926,Über 10.000 CHF,10000,,
118863342592,5.001 - 7.000 CHF,5001,7000,6000
118863331096,5.001 - 7.000 CHF,5001,7000,6000
118863327593,3.000 - 5.000 CHF,3000,5000,4000
118863326262,7.001 - 10.000 CHF,7001,10000,8500
118863321869,Unter 3.000 CHF,0,3000,
118863315318,Über 10.000 CHF,10000,,
118752452689,Keine Angabe,,,
118745041241,Unter 3.000 CHF,0,3000,
118745035969,3.000 - 5.000 CHF,3000,5000,4000
118745035159,7.001 - 10.000 CHF,7001,10000,8500
118728905344,Über 10.000 CHF,10000,,
118728041541,Über 10.000 CHF,10000,,
118725909916,5.001 - 7.000 CHF,5001,7000,6000
118725489712,Über 10.000 CHF,10000,,
118725204330,Über 10.000 CHF,10000,,
118725167746,7.001 - 10.000 CHF,7001,10000,8500
118725152865,Über 10.000 CHF,10000,,
118725110569,5.001 - 7.000 CHF,5001,7000,6000
118723447559,Unter 3.000 CHF,0,3000,
118723237756,5.001 - 7.000 CHF,5001,7000,6000
118722584838,3.000 - 5.000 CHF,3000,5000,4000
118722351539,7.001 - 10.000 CHF,7001,10000,8500
118721763559,Unter 3.000 CHF,0,3000,
118721723631,3.000 - 5.000 CHF,3000,5000,4000
118721622091,3.000 - 5.000 CHF,3000,5000,4000
118721620651,5.001 - 7.000 CHF,5001,7000,6000
118721595224,Unter 3.000 CHF,0,3000,
118721556715,Unter 3.000 CHF,0,3000,
118721543449,7.001 - 10.000 CHF,7001,10000,8500
118721499184,3.000 - 5.000 CHF,3000,5000,4000
118721456430,7.001 - 10.000 CHF,7001,10000,8500
118721400034,Keine Angabe,,,
118721395041,7.001 - 10.000 CHF,7001,10000,8500
118721391105,3.000 - 5.000 CHF,3000,5000,4000
118721337485,3.000 - 5.000 CHF,3000,5000,4000
118721331365,3.000 - 5.000 CHF,3000,5000,4000
118721328556,3.000 - 5.000 CHF,3000,5000,4000
118721197328,5.001 - 7.000 CHF,5001,7000,6000
118721153752,5.001 - 7.000 CHF,5001,7000,6000
118721125261,Über 10.000 CHF,10000,,
118721006467,Keine Angabe,,,
118720956129,3.000 - 5.000 CHF,3000,5000,4000
118720912499,Keine Angabe,,,
118720905950,Keine Angabe,,,
118720902903,7.001 - 10.000 CHF,7001,10000,8500
118720900408,Keine Angabe,,,
118720897761,Über 10.000 CHF,10000,,
118720897461,5.001 - 7.000 CHF,5001,7000,6000
118720895378,Über 10.000 CHF,10000,,
118720891261,Keine Angabe,,,
118720890752,7.001 - 10.000 CHF,7001,10000,8500
118720890310,Keine Angabe,,,
118720887674,Keine Angabe,,,
118720887094,Unter 3.000 CHF,0,3000,
118720882393,Keine Angabe,,,
118720881324,5.001 - 7.000 CHF,5001,7000,6000
118720881244,Über 10.000 CHF,10000,,
118720880281,Keine Angabe,,,
118720878032,Keine Angabe,,,
118720876610,5.001 - 7.000 CHF,5001,7000,6000
118720875003,7.001 - 10.000 CHF,7001,10000,8500
118720874823,Über 10.000 CHF,10000,,
118720874594,Über 10.000 CHF,10000,,
118720874067,3.000 - 5.000 CHF,3000,5000,4000
118720873582,Keine Angabe,,,
118720873581,Über 10.000 CHF,10000,,
118720873448,Unter 3.000 CHF,0,3000,
118720872081,Über 10.000 CHF,10000,,
118720872071,Über 10.000 CHF,10000,,
118720869708,7.001 - 10.000 CHF,7001,10000,8500
118720869178,7.001 - 10.000 CHF,7001,10000,8500
118720868828,7.001 - 10.000 CHF,7001,10000,8500
118720617197,5.001 - 7.000 CHF,5001,7000,6000
118720359488,7.001 - 10.000 CHF,7001,10000,8500
118720304414,Über 10.000 CHF,10000,,
118720210295,7.001 - 10.000 CHF,7001,10000,8500
118720095220,7.001 - 10.000 CHF,7001,10000,8500
118719940488,5.001 - 7.000 CHF,5001,7000,6000
118719844221,7.001 - 10.000 CHF,7001,10000,8500
118719800343,5.001 - 7.000 CHF,5001,7000,6000
118719787450,Keine Angabe,,,
118719777684,7.001 - 10.000 CHF,7001,10000,8500
118719751123,Keine Angabe,,,
118719745254,7.001 - 10.000 CHF,7001,10000,8500
118719744912,3.000 - 5.000 CHF,3000,5000,4000
118719740529,Unter 3.000 CHF,0,3000,
118719740378,Über 10.000 CHF,10000,,
118719731879,3.000 - 5.000 CHF,3000,5000,4000
118719723990,Über 10.000 CHF,10000,,
118719722284,Über 10.000 CHF,10000,,
118719718843,Über 10.000 CHF,10000,,
118719706439,7.001 - 10.000 CHF,7001,10000,8500
118719702607,3.000 - 5.000 CHF,3000,5000,4000
118719701032,7.001 - 10.000 CHF,7001,10000,8500
118719698162,Über 10.000 CHF,10000,,
118719690366,Über 10.000 CHF,10000,,
118719658084,Über 10.000 CHF,10000,,
118719657490,5.001 - 7.000 CHF,5001,7000,6000
118719648913,Keine Angabe,,,
118719640453,Über 10.000 CHF,10000,,
118719638341,3.000 - 5.000 CHF,3000,5000,4000
118719632641,3.000 - 5.000 CHF,3000,5000,4000
118719622185,Keine Angabe,,,
118719618428,Keine Angabe,,,
118719614056,Keine Angabe,,,
118719609522,Keine Angabe,,,
118719608146,Keine Angabe,,,
118719600879,5.001 - 7.000 CHF,5001,7000,6000
118719590338,Unter 3.000 CHF,0,3000,
118719585877,Keine Angabe,,,
118719585430,Keine Angabe,,,
118719583858,Keine Angabe,,,
118719565260,5.001 - 7.000 CHF,5001,7000,6000
118719560234,Unter 3.000 CHF,0,3000,
118719559146,Über 10.000 CHF,10000,,
118719554786,7.001 - 10.000 CHF,7001,10000,8500
118719550176,Keine Angabe,,,
118719549032,Keine Angabe,,,
118719545936,3.000 - 5.000 CHF,3000,5000,4000
118719545213,Über 10.000 CHF,10000,,
118719540468,5.001 - 7.000 CHF,5001,7000,6000
118719539315,Unter 3.000 CHF,0,3000,
118719538617,Unter 3.000 CHF,0,3000,
118719538578,7.001 - 10.000 CHF,7001,10000,8500
118719534721,7.001 - 10.000 CHF,7001,10000,8500
118719536194,3.000 - 5.000 CHF,3000,5000,4000
118718418410,Über 10.000 CHF,10000,,
118718417818,7.001 - 10.000 CHF,7001,10000,8500
118717793319,Über 10.000 CHF,10000,,
