respondent_id,Geschirrspüler,Backofen und Herd,Fernseher und Entertainment-Systeme,Bürogeräte,Waschmaschine,Staubsauger
118867014490,3,4,3,4,4,3
118867103472,4,5,3,5,5,5
118867106782,,,,,,
118867102635,2,4,3,4,4,4
118867095560,4,4,3,2,4,4
118867093389,3,3,4,5,5,3
118867085559,5,5,4,4,5,5
118867081746,3,4,3,2,4,3
118867081624,2,5,3,5,5,2
118867080434,4,5,5,5,5,5
118867074861,4,5,5,5,5,5
118867075571,4,5,2,4,4,4
118867072484,4,5,1,4,5,5
118867062931,3,2,3,3,1,2
118867061539,3,5,2,2,4,3
118867060721,3,5,2,4,3,3
118867051868,5,5,4,5,5,4
118867051937,5,5,5,5,5,5
118867049431,5,5,5,5,5,5
118867048965,4,5,4,4,4,4
118867015928,3,5,2,5,3,3
118867045143,1,3,5,5,1,1
118867046914,4,4,5,5,5,5
118867037998,3,3,1,3,5,3
118867044486,4,5,5,2,4,5
118866955443,3,2,1,4,3,3
118867044801,4,2,4,2,4,2
118867044223,1,5,5,3,5,4
118867043137,5,5,5,3,4,3
118867044118,5,4,4,4,5,5
118867043576,4,3,4,4,4,4
118867041751,5,5,5,5,5,5
118867040792,1,5,5,2,2,2
118867041382,3,3,3,4,4,3
118867040503,3,5,1,1,5,5
118867040007,5,5,4,5,5,4
118867040264,3,3,4,3,3,3
118867038333,3,5,4,4,5,3
118867036887,3,4,4,5,4,3
118867037007,4,5,4,4,4,4
118867037498,1,3,3,3,4,2
118867036948,3,4,5,5,3,4
118867037754,4,5,3,3,5,3
118867036605,3,5,5,2,5,4
118867035459,3,3,2,2,4,4
118867034269,2,4,4,4,3,3
118867032938,3,5,4,2,4,4
118867030915,5,5,5,2,5,5
118867031622,2,4,5,4,4,2
118867028646,4,5,4,3,5,3
118867029398,3,3,3,3,3,3
118867029770,1,2,2,3,2,2
118867026886,3,5,4,4,2,2
118867027259,4,5,4,3,5,5
118867026090,5,5,5,4,4,3
118867025702,5,5,5,5,5,5
118867022508,5,5,5,5,5,5
118867024898,5,5,3,2,5,3
118867024317,5,4,4,4,5,5
118867022838,4,5,3,4,5,4
118867018284,5,5,5,3,5,5
118867014898,4,5,4,3,5,4
118867016042,5,5,3,3,3,4
118867018967,5,5,1,3,5,5
118867019545,3,2,3,3,3,2
118867017445,5,4,5,3,5,3
118867016415,1,3,3,2,3,2
118867015217,4,4,4,4,5,4
118867013213,4,3,3,5,4,3
118867013132,1,4,5,5,2,3
118867012300,2,2,3,3,3,2
118867013091,5,5,2,5,5,4
118867011523,3,3,4,3,3,3
118867010888,3,3,3,3,3,3
118867008679,3,3,3,2,4,3
118867006949,3,5,4,3,4,4
118867006094,4,4,4,5,4,4
118867008529,,,,,,
118867006775,3,5,2,2,5,5
118867003864,3,3,4,4,4,4
118867004785,2,2,2,2,2,2
118867002893,1,5,3,2,5,4
118867002033,5,5,3,5,1,3
118867002447,2,3,2,3,4,3
118867000777,5,5,5,3,5,5
118866999088,1,4,4,4,1,3
118866997913,3,5,5,3,3,3
118866998775,5,5,5,5,5,5
118866997312,3,5,3,2,5,2
118866993456,2,3,4,4,2,3
118866994852,5,5,4,4,5,5
118866994419,2,5,2,4,3,2
118866996124,4,4,3,3,4,3
118866995343,3,5,1,3,5,5
118866994047,3,5,3,2,4,3
118866994425,3,4,4,3,5,3
118866992134,5,5,4,5,5,5
118866992596,4,3,4,3,2,2
118866990024,2,4,4,4,4,3
118866989350,5,4,3,5,5,4
118866989292,3,4,4,3,3,3
118866987521,1,5,4,4,3,3
118866987307,2,5,5,4,2,2
118866990134,,,,,,
118866986337,2,5,4,5,4,3
118866989972,,,,,,
118866984327,4,4,5,5,5,5
118866973987,3,5,4,5,5,4
118866983923,1,5,5,5,3,3
118866982200,1,3,3,3,2,2
118866983403,2,3,3,2,3,1
118866982535,3,5,3,3,5,5
118866979137,4,5,3,4,5,5
118866981859,4,5,4,4,5,5
118866981183,4,4,3,3,4,4
118866979933,3,2,3,1,3,3
118866979138,4,4,4,3,4,4
118866974650,5,5,5,3,5,5
118866975327,3,5,3,4,4,4
118866974083,5,5,5,4,5,5
118866974195,3,5,4,1,4,3
118866974381,5,5,4,4,5,5
118866975040,5,5,5,5,5,5
118866974076,2,3,5,5,2,2
118866973535,2,4,4,5,2,3
118866970685,2,5,5,5,5,5
118866971710,3,4,3,3,3,3
118866969397,3,3,5,5,3,3
118866968787,1,4,1,1,3,2
118866969369,4,5,5,3,3,3
118866968347,5,4,3,2,2,4
118866964905,5,5,3,5,5,5
118866959282,3,5,3,5,4,3
118866960887,4,5,5,5,5,5
118866963297,5,3,5,2,5,3
118866960088,5,5,2,4,5,2
118866962159,4,5,2,2,4,3
118866958232,1,3,3,2,4,4
118866959132,4,3,2,4,4,4
118866959416,3,4,5,,4,4
118866953261,3,5,5,4,3,3
118866955618,1,5,2,3,5,5
118866957825,4,4,4,3,4,4
118866958454,3,5,3,3,5,5
118866956552,2,4,2,3,4,3
118866956915,4,4,3,3,4,4
118866955817,4,4,4,3,4,3
118866954185,3,3,2,2,5,5
118866951530,1,3,4,4,4,1
118866950613,4,4,4,4,4,4
118866948040,1,1,1,1,1,1
118866943584,2,2,1,5,3,2
118866946022,4,5,4,4,5,4
118866945395,5,5,5,5,5,5
118866942004,2,5,5,5,4,4
118866945099,5,5,3,4,5,5
118866946286,4,4,5,5,4,4
118866943931,5,5,5,4,5,5
118866943455,4,5,5,4,5,5
118866944075,4,5,3,5,4,4
118866943226,4,5,3,2,5,4
118866943215,4,3,2,1,3,3
118866943315,3,2,4,3,2,3
118866942164,4,5,5,5,4,4
118866944373,,,,,,
118866941933,2,4,4,2,2,2
118866940774,1,5,2,3,4,3
118866940556,3,3,5,3,3,5
118866936324,4,4,3,3,4,4
118866939705,4,4,4,4,4,4
118866938193,2,2,5,3,4,1
118866937507,5,5,4,5,5,4
118866935766,4,4,4,4,4,4
118866937898,4,4,4,4,4,4
118866936563,1,4,4,2,5,5
118866937146,4,5,5,5,5,5
118866934905,4,5,5,5,3,3
118866936667,4,5,5,4,4,4
118866935206,4,4,5,4,5,4
118866936450,3,4,4,5,5,4
118866935483,3,4,2,2,4,3
118866936312,3,2,5,4,4,4
118866935967,3,3,3,2,3,2
118866934557,3,5,5,4,5,3
118866935058,5,5,5,3,5,5
118866928634,4,4,4,4,4,4
118866933543,2,5,4,5,2,2
118866929307,5,4,5,5,5,4
118866933392,4,5,2,4,3,2
118866931995,3,3,5,2,2,3
118866934042,4,5,3,5,3,2
118866935000,,,,,,
118866933882,2,3,3,4,3,4
118866930245,2,4,2,3,4,4
118866930393,3,5,5,5,3,1
118866932976,2,2,2,2,3,3
118866931782,5,5,3,4,5,5
118866930866,4,5,4,4,5,5
118866931402,3,3,3,3,3,3
118866930240,5,4,4,4,5,4
118866930534,3,4,2,3,4,3
118866928259,4,4,1,4,4,4
118866931009,1,4,3,4,4,2
118866928820,2,2,2,2,2,2
118866930110,5,5,5,1,5,5
118866926962,3,5,3,3,5,3
118866926796,1,1,4,4,5,1
118866928003,4,3,4,3,4,4
118866928061,2,4,3,3,4,4
118866807581,5,5,5,5,5,5
118866331968,1,5,3,2,3,2
118866098373,5,5,,5,5,5
118866070482,2,5,4,5,3,2
118866049453,4,5,3,3,4,2
118865993888,3,3,4,4,3,1
118865937239,2,4,3,4,1,2
118865545609,1,5,5,5,5,5
118865337253,4,5,4,5,4,3
118864902528,3,5,2,5,4,3
118864896513,2,3,3,3,3,3
118864429794,2,4,3,3,2,3
118864377677,1,2,5,3,1,1
118864359644,2,5,5,5,5,5
118864248189,5,5,5,5,5,5
118864149111,2,4,1,5,2,2
118864023864,5,5,2,4,5,5
118864004036,4,5,2,3,4,2
118863985701,2,4,3,5,5,5
118863934625,1,5,3,5,3,3
118863922119,1,4,2,5,4,3
118863893346,1,3,1,5,5,3
118863891002,4,5,4,5,5,4
118863872491,5,5,3,5,4,3
118863862058,3,5,4,4,4,4
118863784974,3,4,4,5,3,3
118863593040,5,5,5,5,5,5
118863567511,3,5,4,4,5,5
118863548745,4,4,3,2,3,2
118863432342,3,4,2,4,4,3
118863395010,4,5,4,5,5,5
118863368596,2,3,2,2,3,4
118863364986,2,4,2,3,4,3
118863351926,5,5,5,5,5,5
118863342592,4,3,4,5,5,5
118863331096,2,5,5,2,3,3
118863327593,1,5,5,5,1,3
118863326262,1,2,5,5,3,2
118863321869,5,5,5,5,5,5
118863315318,2,5,2,4,5,2
118752452689,2,5,4,5,3,2
118745041241,2,3,4,5,3,1
118745035969,1,3,3,5,5,2
118745035159,1,5,3,5,5,3
118728905344,4,2,1,3,3,1
118728041541,2,4,5,5,3,3
118725909916,4,2,3,4,4,3
118725489712,3,4,4,5,4,3
118725204330,1,5,5,5,1,1
118725167746,4,3,2,2,3,1
118725152865,3,4,2,4,3,3
118725110569,1,5,5,5,2,5
118723447559,1,4,3,3,3,2
118723237756,4,5,4,4,5,4
118722584838,2,5,3,4,2,2
118722351539,1,5,5,5,2,2
118721763559,1,2,4,1,5,4
118721723631,1,5,2,1,5,5
118721622091,3,5,5,3,5,5
118721620651,1,5,4,4,2,3
118721595224,1,5,5,5,1,5
118721556715,3,5,2,3,5,4
118721543449,3,4,3,4,5,3
118721499184,4,5,5,4,5,5
118721456430,2,5,5,5,5,5
118721400034,3,1,5,5,5,3
118721395041,4,5,4,4,5,4
118721391105,3,4,5,4,4,4
118721337485,4,5,4,2,3,3
118721331365,3,5,4,5,4,4
118721328556,1,5,3,2,4,2
118721197328,2,4,4,5,2,3
118721153752,1,4,3,2,4,2
118721125261,2,4,3,5,2,3
118721006467,3,2,1,2,2,3
118720956129,1,5,1,5,1,3
118720912499,1,5,2,2,2,2
118720905950,1,5,2,2,1,1
118720902903,4,5,1,4,5,1
118720900408,2,5,4,5,5,5
118720897761,5,5,3,5,3,5
118720897461,4,4,3,3,4,3
118720895378,5,5,1,5,5,5
118720891261,2,4,1,3,4,1
118720890752,2,4,3,5,4,2
118720890310,3,4,4,2,4,4
118720887674,3,3,5,5,4,3
118720887094,5,5,5,4,5,5
118720882393,3,5,5,4,5,5
118720881324,5,5,5,5,5,5
118720881244,2,5,2,4,4,3
118720880281,3,4,5,3,5,2
118720878032,2,4,3,5,4,3
118720876610,3,5,1,4,5,5
118720875003,1,5,5,5,1,5
118720874823,4,5,1,3,2,2
118720874594,2,4,1,5,4,3
118720874067,1,5,5,2,2,2
118720873582,5,5,2,2,5,4
118720873581,5,5,2,1,5,5
118720873448,1,3,5,3,5,3
118720872081,4,4,3,4,5,4
118720872071,4,4,2,5,5,4
118720869708,3,3,4,5,5,2
118720869178,2,4,3,5,4,5
118720868828,5,5,2,4,3,2
118720617197,3,4,3,5,4,5
118720359488,3,3,3,2,4,2
118720304414,3,4,2,5,3,3
118720210295,2,3,3,4,4,4
118720095220,5,5,5,2,5,5
118719940488,1,1,1,1,5,1
118719844221,5,5,5,5,4,4
118719800343,4,4,4,4,4,4
118719787450,2,4,1,3,4,3
118719777684,2,5,5,5,3,3
118719751123,5,5,5,5,4,5
118719745254,5,5,3,1,3,4
118719744912,5,5,2,5,5,4
118719740529,3,5,4,2,2,2
118719740378,1,1,1,1,1,1
118719731879,3,5,5,5,3,3
118719723990,5,5,5,5,5,5
118719722284,3,5,5,5,4,4
118719718843,3,1,2,2,1,2
118719706439,5,5,2,2,5,3
118719702607,4,5,5,3,4,4
118719701032,2,4,4,5,3,2
118719698162,2,5,5,4,3,2
118719690366,4,4,3,3,4,2
118719658084,1,3,2,4,3,
118719657490,3,1,5,5,4,3
118719648913,4,5,5,5,4,3
118719640453,1,5,4,5,3,4
118719638341,4,4,4,5,5,4
118719632641,4,5,1,,5,4
118719622185,4,5,1,5,4,4
118719618428,3,5,3,5,4,3
118719614056,3,3,5,2,5,4
118719609522,4,5,3,4,4,3
118719608146,3,4,4,3,5,3
118719600879,1,5,3,3,5,3
118719590338,4,5,2,2,5,5
118719585877,4,5,4,1,4,1
118719585430,5,4,3,3,5,2
118719583858,2,4,5,4,3,3
118719565260,3,5,3,2,4,3
118719560234,1,4,2,4,5,5
118719559146,3,5,3,5,5,2
118719554786,3,5,3,5,2,3
118719550176,2,1,4,3,3,4
118719549032,2,5,4,5,1,3
118719545936,3,5,3,5,3,3
118719545213,3,5,3,4,2,1
118719540468,2,1,2,2,2,2
118719539315,5,5,5,5,5,5
118719538617,5,4,5,3,3,2
118719538578,4,4,2,5,4,3
118719534721,3,3,2,5,2,2
118719536194,4,5,1,4,3,2
118718418410,1,4,4,5,3,3
118718417818,5,5,5,5,5,5
118717793319,3,3,2,2,2,2
